Gene	Scer	Cgla	Scas	Klac	Calb	Spom
2962	1	0	1	0	0	0
2966	0	0	1	0	0	0
2977	1	0	1	0	1	1
2989	0	0	0	0	1	1
3003	1	0	0	0	0	0
3080	0	0	0	0	0	1
3087	1	0	1	0	0	0
3093	0	0	0	0	1	0
3101	0	0	0	0	1	0
3111	0	0	1	0	0	0
3113	1	0	0	0	0	0
3121	1	0	1	0	0	0
3130	0	1	0	0	0	0
3135	1	0	0	0	0	0
3151	0	0	0	0	1	0
3181	0	0	0	0	1	0
3236	1	0	0	0	0	0
3253	0	0	1	0	0	0
3296	1	0	0	0	0	0
3353	0	0	1	0	0	0
3360	1	0	1	0	0	0
3376	0	0	1	0	0	0
3404	1	0	0	0	1	1
3484	0	0	1	0	0	0
3494	1	0	1	0	1	1
3530	0	0	0	0	1	0
3537	1	0	0	0	0	0
3577	0	1	0	0	1	0
3584	0	0	1	0	0	0
3615	0	0	1	0	0	0
3619	0	0	1	0	0	0
3653	0	0	0	0	1	0
3701	1	0	0	0	0	0
3771	1	0	0	0	1	0
3807	0	0	0	0	0	1
3817	0	0	0	0	0	1
3832	0	0	1	0	0	0
3841	1	0	0	0	1	0
3870	0	0	0	0	0	1
3878	1	0	0	0	0	0
3889	1	0	0	0	0	0
3919	0	0	1	0	0	1
3945	0	0	1	0	0	0
3968	1	0	0	0	0	0
3980	0	0	0	0	0	1
3984	0	0	1	0	0	0
3997	1	0	1	0	0	1
4000	1	0	0	0	0	0
4029	1	0	0	0	0	0
4030	0	0	0	1	0	0
4047	0	0	0	0	0	1
4067	0	0	1	0	0	0
4126	0	0	1	0	0	0
4137	0	0	1	0	0	0
4168	0	0	0	0	0	1
4172	0	0	0	0	0	1
4182	0	0	1	0	0	0
4184	0	1	0	0	0	0
4189	0	0	0	0	0	1
4204	0	0	0	0	1	0
4228	1	1	0	0	0	0
4302	1	0	0	0	0	0
4323	1	0	0	0	0	0
4330	1	0	0	0	0	0
4375	0	0	0	0	0	1
4385	1	0	0	0	0	0
4451	0	0	1	0	0	0
4463	0	0	1	0	0	0
4474	0	0	0	1	0	0
4497	0	0	1	0	0	0
4549	1	0	0	0	0	0
4567	1	0	0	0	0	0
4630	1	0	0	0	0	1
4694	1	0	0	0	0	0
4883	1	0	1	0	0	0
4896	1	0	0	0	1	1
4897	1	0	1	0	0	0
4908	0	0	1	0	0	0
5300	1	0	0	0	0	0
5323	0	0	1	0	1	1
5329	0	0	0	0	1	0
5366	0	0	0	0	1	0
5378	1	0	0	0	0	0
5387	0	0	0	0	1	0
5410	1	0	0	0	0	0
5418	1	0	1	1	0	1
5438	0	0	0	0	0	1
5479	1	0	0	0	0	0
5483	1	0	0	0	0	0
5490	0	0	0	0	1	1
5511	0	0	1	0	0	0
5518	0	1	0	0	1	1
5519	0	0	0	0	1	0
5574	0	0	0	0	0	1
5591	0	0	0	0	0	1
5766	0	0	1	0	0	0
6208	1	0	0	0	0	0
6228	0	0	1	0	0	0
6688	1	0	0	0	0	0
6734	0	0	1	0	0	0
7023	0	0	0	0	1	0
7689	0	0	0	0	1	0
7987	0	0	1	0	0	0
8034	0	0	1	0	0	0
8072	0	0	1	0	0	0
8287	0	0	1	0	1	0
9195	1	0	0	0	1	0
9686	1	1	0	0	0	0
11169	0	0	0	0	1	0
12283	0	0	1	0	0	0
12734	1	0	0	0	0	0
14237	0	0	0	1	1	0
14411	0	0	0	1	1	0
14728	0	0	0	0	1	0
14802	0	0	1	0	0	0
15224	0	0	1	0	0	0
15497	0	0	0	0	1	0
16183	1	0	0	0	1	0
16295	0	0	1	0	0	0
16362	0	0	1	0	0	0
16374	0	0	0	1	0	0
16538	0	0	0	0	1	0
16838	0	0	1	0	0	0
19971	0	0	1	0	0	0
20023	1	0	0	0	0	0
20043	0	0	1	0	0	0
20085	0	0	1	0	0	0
20103	1	0	0	0	0	0
20142	0	0	1	0	0	0
20185	0	0	1	0	0	0
20590	0	0	1	0	0	0
20857	1	0	0	0	0	0
21574	0	1	0	0	0	0
21743	1	0	0	0	0	0
21940	1	0	0	0	0	0
22129	1	0	0	0	0	0
22141	1	0	0	0	0	0
23573	0	0	0	0	1	0
23604	0	0	1	0	0	0
23621	0	0	1	0	0	0
23889	0	1	0	0	0	0
23989	0	0	1	0	0	0
24097	1	0	0	0	0	0
24111	1	0	1	0	0	0
24235	0	0	0	0	1	0
24258	1	0	0	0	0	0
24296	0	0	0	0	1	0
24347	1	0	1	0	1	0
24374	1	0	0	0	0	0
24378	0	0	0	0	1	0
24390	0	1	1	0	0	0
24393	1	0	0	0	0	0
24483	1	0	0	0	0	0
24490	1	0	0	0	0	0
24507	1	0	0	0	0	0
24593	1	0	0	0	1	0
24624	0	0	1	0	1	0
24690	0	1	0	0	0	0
24795	0	0	1	0	0	0
24857	0	0	0	0	1	0
24904	0	0	0	0	1	0
24939	1	0	0	1	1	0
24949	0	0	1	1	0	0
25042	1	0	0	0	0	0
25069	0	1	1	0	0	0
25128	0	0	1	0	0	0
25153	0	0	0	0	1	0
25171	1	0	0	0	0	0
25334	0	0	0	0	1	0
25346	0	1	1	0	0	0
25349	1	0	0	0	0	0
25370	0	0	1	0	0	0
25467	1	0	0	1	1	0
25537	0	0	0	0	1	0
25540	1	0	0	0	0	0
25582	0	0	1	0	0	0
25639	0	0	0	0	1	0
25842	0	0	1	0	0	0
25843	0	0	0	0	1	0
25856	1	0	1	0	0	0
25899	1	0	0	1	1	0
25926	1	0	1	0	0	0
26008	1	0	0	0	0	0
