Gene	Scer	Cgla	Scas	Klac	Calb	Spom
44	0	0	1	0	0	0
58	0	0	1	0	0	0
62	1	0	1	0	0	0
143	0	0	0	0	0	1
149	1	0	1	0	0	0
157	1	1	0	0	0	0
208	0	0	0	0	0	1
209	1	0	0	0	0	0
252	0	1	0	0	0	0
379	0	0	1	0	0	0
428	1	0	0	1	0	0
476	0	0	1	0	0	0
478	0	0	1	0	0	0
520	1	0	0	0	0	0
679	1	0	0	0	0	1
696	0	1	0	0	0	0
752	1	1	0	0	1	0
753	1	0	1	0	0	0
783	1	0	1	0	0	0
803	0	0	0	0	0	1
848	0	0	1	0	0	0
877	0	0	0	0	1	0
881	0	0	1	0	0	0
899	0	0	0	0	0	1
983	0	0	0	0	0	1
1016	1	0	1	0	1	0
1102	0	0	0	0	0	1
1114	1	0	0	0	0	0
1117	0	0	0	0	0	1
1131	0	0	0	1	0	1
1140	0	0	1	0	0	0
1168	1	0	0	0	0	1
1187	0	0	0	0	0	1
1188	0	0	0	0	0	1
1204	0	0	1	0	0	0
1318	0	0	1	0	0	0
1330	0	0	1	0	0	0
1382	0	1	0	0	0	0
1391	0	0	1	0	0	1
1408	0	0	0	0	0	1
1432	0	0	1	0	0	0
1436	0	0	0	0	0	1
1517	0	0	0	0	0	1
1543	0	0	0	0	0	1
1640	0	1	0	0	0	0
1654	0	0	1	0	0	0
1655	0	0	0	0	0	1
1660	1	0	1	0	1	0
1794	1	0	1	0	0	1
1804	1	0	1	0	0	0
1871	0	0	1	0	0	0
1918	0	0	0	0	1	0
1942	0	0	0	0	1	1
1993	1	1	0	0	1	1
2019	1	0	0	0	0	0
2023	1	0	1	0	0	0
2047	1	0	0	0	0	0
2087	0	0	0	1	0	0
2115	0	1	0	0	0	1
2116	0	0	0	0	0	1
2125	1	0	0	0	0	0
2147	1	0	0	0	0	1
2174	0	0	0	0	0	1
2182	1	0	0	0	0	0
2197	0	0	1	0	0	0
2210	1	0	0	0	0	0
2233	1	0	0	0	0	0
2258	0	0	1	0	1	1
2293	1	0	0	0	0	0
2358	0	0	0	1	0	0
2426	0	0	0	0	1	0
2471	0	0	1	0	0	0
2472	0	0	0	0	0	1
2601	1	0	0	0	0	0
2610	0	0	0	0	0	1
2626	0	0	0	0	0	1
2692	1	0	0	1	0	0
2727	0	0	1	0	0	0
2749	1	0	0	0	0	0
2877	1	0	0	0	0	1
2946	0	0	1	0	0	0
2948	1	0	0	0	0	0
